title,provider,award,ects_credits,mode,deadline,start_date,end_date,nfq,ote_flag,skill_area,link
Postgraduate Diploma in Digital Marketing [January 2019],Waterford Institute of Technology,Major,60,Part Time,31/1/2019,31/1/2019,20/12/2019,9,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6349
Masters of Science in Global Financial Information Systems,Waterford Institute of Technology,Major ,90,Part Time,8/8/2018,10/9/2018,30/8/2019,9,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6348
Higher Diploma in Business Systems Analysis ,Waterford Institute of Technology,Higher Diploma Level 8,60,Part Time,5/9/2018,10/9/2018,30/8/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6347
Diploma in Supervisory Practice,Waterford Institute of Technology,Special Purpose,60,Part Time,4/9/2018,10/9/2018,10/5/2019,7,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6346
Certificate in Pharmaceutical Technology,Waterford Institute of Technology,Certificate in Pharmaceutical Technology,60,Part Time,6/9/2018,10/9/2018,23/8/2019,6,Yes,"['natural', 'sciences', 'mathematics', 'statistics']",https://springboardcourses.ie/details/6345
Certificate in Fire Engineering,Waterford Institute of Technology,Minor ,30,Part Time,17/9/2018,2/10/2018,30/8/2019,7,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6344
Certificate in Economics and Finance,Waterford Institute of Technology,Minor ,30,Part Time,5/9/2018,10/9/2018,20/5/2019,9,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6343
Certificate in Data Protection and GDPR Practice [September 2018],Waterford Institute of Technology,Special Purpose ,10,Part Time,24/8/2018,17/9/2018,26/11/2018,6,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6341
Certificate in Biomedical Engineering,Waterford Institute of Technology,Minor ,30,Part Time,18/1/2019,18/1/2019,20/12/2019,9,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6340
BSc in Construction Site Management,Waterford Institute of Technology,BSc in Construction Site Management,60,Part Time,28/9/2018,4/10/2018,30/8/2019,7,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6339
Higher Diploma in Computer Science [January 2019][2 Years Part-time],Waterford Institute of Technology,Higher Diploma Level 8,90,Part Time,14/1/2019,14/1/2019,18/12/2020,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6338
Higher Diploma in Business Systems Analysis [2-year part-time][2 Years Part-time],Waterford Institute of Technology,Higher Diploma Level 8,60,Part Time,12/9/2018,14/9/2018,28/8/2020,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6337
Higher Diploma in Agri-Food ICT Systems [January 2019][2 Years Part-time],Waterford Institute of Technology,Higher Diploma Level 8,60,Part Time,7/1/2019,14/1/2019,18/12/2020,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6336
Supply Chain Management (Certificate) (Blended Learning - September 2018),University of Limerick,Minor,54,Part Time,17/7/2018,8/9/2018,13/5/2019,7,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6334
Six Sigma (Specialist Diploma) (Distance Education) [January 2019],University of Limerick,Minor,36,Part Time,20/12/2018,19/1/2019,21/12/2019,9,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6332
Six Sigma (Specialist Diploma) (Distance Education) [September 2018],University of Limerick,Minor,36,Part Time,23/8/2018,8/9/2018,11/5/2019,9,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6331
Management Practice (Specialist Diploma) (Blended Learning),University of Limerick,Minor,42,Part Time,27/9/2018,27/9/2018,13/5/2019,9,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6328
Management  (Certificate) (Blended Learning - September 2018),University of Limerick,Minor,54,Part Time,15/7/2018,8/9/2018,10/5/2019,6,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6326
Lean Systems (Specialist Diploma) (Distance Education) [January 2019],University of Limerick,Minor,36,Part Time,20/12/2018,19/1/2019,21/12/2019,9,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6325
Lean Systems (Specialist Diploma) (Distance Education) [September 2018],University of Limerick,Minor,36,Part Time,14/9/2018,14/9/2018,10/5/2019,9,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6324
Information and Network Security (Specialist Diploma) (Blended Learning),University of Limerick,Minor Award from the University of Limerick,36,Part Time,4/9/2018,13/9/2018,30/6/2019,9,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6323
Higher Diploma Computer Science [1 year Full-time],University College Dublin,Higher Diploma,75,Full Time,7/9/2018,10/9/2018,30/8/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6309
Postgraduate Certificate in Project Management,University College Cork,Postgraduate Certificate (Minor Award),30,Part Time,24/8/2018,14/9/2018,31/5/2019,9,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6308
Postgraduate Certificate in (Bio)Pharma Processing,University College Cork,Postgraduate Certificate (Minor Award),30,Part Time,22/8/2018,21/9/2018,16/8/2019,9,Yes,"['natural', 'sciences', 'mathematics', 'statistics']",https://springboardcourses.ie/details/6307
MA in Digital Arts and Humanities,University College Cork,MA (Major Award),90,Part Time,24/8/2018,11/9/2018,2/9/2019,9,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6306
Higher Diploma in Advanced Languages and Global Communication,University College Cork,Higher Diploma (Major Award),60,Part Time,1/9/2018,3/9/2018,30/8/2019,8,Yes,"['arts', 'humanities']",https://springboardcourses.ie/details/6305
Certificate in Procurement Management,University College Cork,Certificate (Special Purpose Award),30,Part Time,6/9/2018,14/9/2018,31/5/2019,8,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6304
Certificate in Process and Chemical Engineering,University College Cork,Certificate (Minor Award),30,Part Time,3/9/2018,3/9/2018,7/5/2019,7,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6303
Certificate in Operator Development (Pharma Manufacturing),University College Cork,Certificate (Special Purpose Award),30,Part Time,22/8/2018,9/2018,8/2019,7,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6302
Certificate in Management Practice,University College Cork,Certificate (Special Purpose Award),30,Part Time,24/8/2018,15/9/2018,25/6/2019,7,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6301
Postgraduate Certificate in Innovation and Enterprise Development (Dublin),Trinity College Dublin,Postgraduate Certificate,30,Part Time,15/3/2019,25/3/2019,9/8/2019,9,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6298
Leadership & Management Development for Creative Business Owners [September 2018],The Entrepreneurs Academy,QQI Level 6 Business Planning,15,Part Time,15/9/2018,15/9/2018,30/1/2019,6,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6293
Animation [Dublin] [January 2019],Pulse College,Level 6 QQI Certificate in Animation,60,Part Time,11/1/2019,14/1/2019,7/8/2019,6,Yes,"['arts', 'humanities']",https://springboardcourses.ie/details/6292
Animation [Dublin] [September 2018],Pulse College,Level 6 Minor Award in Animation,60,Part Time,10/9/2018,17/9/2018,1/5/2019,6,Yes,"['arts', 'humanities']",https://springboardcourses.ie/details/6290
Specialist Diploma in Medical Device Science (2018),"National University of Ireland, Galway",Specialist Diploma (minor award degree level 8),30,Part Time,18/8/2018,8/9/2018,31/5/2019,8,Yes,"['generic', 'programmes', 'qualifications']",https://springboardcourses.ie/details/6279
Specialist Diploma in Lean & Quality Systems (2018),"National University of Ireland, Galway",Specialist Diploma (minor award degree level 8),30,Part Time,17/8/2018,15/9/2018,31/5/2019,8,Yes,"['generic', 'programmes', 'qualifications']",https://springboardcourses.ie/details/6278
Postgraduate Diploma in Technology Commercialisation,"National University of Ireland, Galway",Postgraduate Diploma in Technology Commercialisation,40,Part Time,27/8/2018,1/9/2018,31/8/2019,9,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6277
Postgraduate Diploma in Innovation Management,"National University of Ireland, Galway",Postgraduate Diploma in Innovation Management,40,Part Time,6/8/2018,1/9/2018,31/8/2019,9,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6276
MSc in AgInnovation,"National University of Ireland, Galway",MSc in AgInnovation,90,Part Time,14/9/2018,1/9/2018,31/8/2019,9,Yes,"['agriculture', 'forestry', 'fisheries', 'veterinary']",https://springboardcourses.ie/details/6275
Higher Diploma in Applied Science (Software Design and Development- Industry Stream)[1 year Full-time],"National University of Ireland, Galway",Higher Diploma,60,Full Time,1/8/2018,10/9/2018,31/8/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6274
Post Graduate Diploma in Data Analytics Face to Face Delivery [January 2019],National College of Ireland,Postgraduate Diploma in Science in Data Analytics,60,Part Time,18/1/2019,22/1/2019,31/12/2019,9,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6271
Higher Diploma in Science (Software Development)[1 year Full-time],Maynooth University,Higher Diploma in Science (Software Development),60,Full Time,21/9/2018,21/9/2018,31/5/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6263
Higher Diploma in Data Analytics [1 year Full-time],Maynooth University,HDip Data Science,60,Full Time,27/8/2018,3/9/2018,31/5/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6262
Higher Diploma in Arts in Food Management and Innovation ,Limerick Institute of Technology,Higher Diploma in Food Management and Innovation ,60,Part Time,7/12/2018,4/2/2019,30/12/2019,8,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6261
Certificate in Near Zero Energy Buildings,Limerick Institute of Technology,"Certificate in Near Zero Energy Buildings (Special Purpose Award, Level 6, 20 Credits)",20,Part Time,12/11/2018,1/10/2018,24/5/2019,6,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6258
Certificate in Aircraft Technical Services ,Limerick Institute of Technology,"Special Purpose Award, Level 7, 30 Credits",30,Part Time,1/9/2018,9/2018,6/2019,7,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6257
3D Animation and Visual Effects,Limerick Institute of Technology,Certificate in 3D Animation and VFX (Visual Effects) for Film and TV,30,Part Time,1/2/2019,16/2/2019,9/11/2019,9,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6255
Software Development [2 Years Part-time],Limerick Institute of Technology,Higher Diploma in Software Development ,60,Part Time,17/9/2018,18/9/2018,31/8/2020,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6254
Software Development [1 year Full-time],Limerick Institute of Technology,Higher Diploma in Software Development ,60,Full Time,17/9/2018,18/9/2018,31/8/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6253
Creative Multimedia Programming [1 year Full-time],Limerick Institute of Technology,Higher Diploma in Creative Multimedia Programming ,60,Full Time,21/9/2018,21/9/2018,31/8/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6252
Postgraduate Diploma in Computing in Cybersecurity,Letterkenny Institute of Technology,Major,80,Part Time,7/9/2018,24/9/2018,1/8/2019,9,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6251
Postgraduate Diploma in Computing in Cloud Technologies,Letterkenny Institute of Technology,Major,70,Part Time,12/9/2018,24/9/2018,20/8/2019,9,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6250
"PG Diploma in Governance, Compliance and Data Protection in Financial Services",Letterkenny Institute of Technology,Major,70,Part Time,14/9/2018,17/9/2018,24/5/2019,9,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6249
Higher Diploma in Finance and Technology (FinTech),Letterkenny Institute of Technology,major,70,Part Time,12/9/2018,17/9/2018,23/8/2019,8,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6248
Diploma in Restaurant Operations Management Consortium,Letterkenny Institute of Technology,Special Purpose Award,70,Part Time,27/9/2018,29/9/2018,28/9/2019,7,Yes,['services'],https://springboardcourses.ie/details/6245
Certificate in Mainframe Technologies,Letterkenny Institute of Technology,Minor,35,Part Time,3/10/2018,5/10/2018,8/3/2019,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6244
Certificate in Food and Beverage Operations [Consortium],Letterkenny Institute of Technology,minor,70,Part Time,15/2/2019,19/2/2019,17/5/2019,6,Yes,['services'],https://springboardcourses.ie/details/6242
Certificate in Culinary Skills,Cork Institute of Technology,Certificate,70,Part Time,21/9/2018,9/2018,8/2019,6,Yes,['services'],https://springboardcourses.ie/details/6241
